Date,Price,Open,High,Low,Vol.,Change %,Close
3/23/15,265.5,268.6,271.0,259.4,81.45K,-1.16%,268.6
3/22/15,268.6,259.7,270.4,259.0,56.63K,3.41%,259.7
3/21/15,259.7,261.8,263.3,254.0,51.65K,-0.79%,261.8
3/20/15,261.8,260.9,264.7,257.9,52.83K,0.33%,260.9
3/19/15,260.9,255.9,264.8,247.0,180.69K,1.96%,255.9
3/18/15,255.9,285.4,285.6,248.2,206.74K,-10.32%,285.4
3/17/15,285.4,290.4,292.5,283.3,65.01K,-1.73%,290.4
3/16/15,290.4,284.9,294.0,284.8,66.34K,1.94%,284.9
3/15/15,284.9,281.6,286.4,280.4,39.46K,1.16%,281.6
3/14/15,281.6,287.2,288.4,279.3,75.72K,-1.95%,287.2
3/13/15,287.2,293.9,294.9,286.1,97.34K,-2.26%,293.9
3/12/15,293.9,295.6,297.0,290.8,107.32K,-0.59%,295.6
3/11/15,295.6,291.4,297.7,288.9,79.98K,1.45%,291.4
3/10/15,291.4,290.0,301.0,288.1,158.18K,0.47%,290.0
3/9/15,290.0,274.5,293.3,273.8,151.77K,5.66%,274.5
3/8/15,274.5,274.9,278.8,271.3,50.40K,-0.15%,274.9
3/7/15,274.9,272.6,278.3,269.4,60.72K,0.86%,272.6
3/6/15,272.6,275.2,278.0,269.0,98.80K,-0.97%,275.2
3/5/15,275.2,271.9,280.8,262.8,123.64K,1.22%,271.9
3/4/15,271.9,280.6,284.5,265.9,139.00K,-3.11%,280.6
3/3/15,280.6,273.8,287.1,266.1,164.82K,2.52%,273.8
3/2/15,273.8,257.9,274.8,256.1,81.09K,6.13%,257.9
3/1/15,257.9,254.1,260.6,244.8,51.33K,1.53%,254.1
2/28/15,254.1,253.5,255.4,248.7,39.41K,0.23%,253.5
2/27/15,253.5,236.5,258.7,235.7,167.81K,7.16%,236.5
2/26/15,236.5,237.3,238.2,233.5,50.87K,-0.34%,237.3
2/25/15,237.3,238.9,239.6,234.6,38.10K,-0.65%,238.9
2/24/15,238.9,238.8,240.3,235.5,45.03K,0.03%,238.8
2/23/15,238.8,235.7,240.1,231.3,62.67K,1.31%,235.7
2/22/15,235.7,244.4,246.5,232.7,75.70K,-3.55%,244.4
2/21/15,244.4,244.5,247.3,242.6,42.95K,-0.04%,244.5
2/20/15,244.5,241.9,247.8,238.8,83.59K,1.07%,241.9
2/19/15,241.9,235.2,244.1,234.9,66.05K,2.86%,235.2
2/18/15,235.2,243.2,245.5,231.7,99.66K,-3.29%,243.2
2/17/15,243.2,235.8,247.2,232.0,116.26K,3.13%,235.8
2/16/15,235.8,233.3,240.0,228.0,115.47K,1.10%,233.3
2/15/15,233.3,258.6,264.6,226.6,179.14K,-9.81%,258.6
2/14/15,258.6,236.2,261.3,235.4,133.80K,9.51%,236.2
2/13/15,236.2,221.8,241.6,220.6,112.25K,6.48%,221.8
2/12/15,221.8,218.8,223.0,217.3,50.11K,1.35%,218.8
2/11/15,218.8,219.7,223.5,217.3,71.73K,-0.38%,219.7
2/10/15,219.7,220.3,222.2,214.4,86.15K,-0.30%,220.3
2/9/15,220.3,223.7,225.0,215.7,91.69K,-1.49%,223.7
2/8/15,223.7,227.7,230.2,219.5,29.05K,-1.76%,227.7
2/7/15,227.7,223.0,231.0,222.4,39.76K,2.12%,223.0
2/6/15,223.0,216.5,226.2,215.6,52.52K,2.97%,216.5
2/5/15,216.5,226.6,229.9,214.4,40.64K,-4.44%,226.6
2/4/15,226.6,227.4,230.7,220.2,55.24K,-0.36%,227.4
2/3/15,227.4,238.9,247.5,223.9,63.08K,-4.79%,238.9
2/2/15,238.9,225.3,242.5,220.5,39.02K,6.02%,225.3
2/1/15,225.3,218.5,231.4,209.7,41.16K,3.10%,218.5
1/31/15,218.5,231.8,235.4,216.5,42.15K,-5.75%,231.8
1/30/15,231.8,234.0,244.8,227.2,48.23K,-0.92%,234.0
1/29/15,234.0,236.2,241.5,220.4,54.49K,-0.92%,236.2
1/28/15,236.2,263.3,267.7,228.1,63.77K,-10.29%,263.3
1/27/15,263.3,269.2,276.9,247.3,50.26K,-2.20%,269.2
1/26/15,269.2,252.1,310.9,251.5,105.71K,6.78%,252.1
1/25/15,252.1,248.2,256.4,241.4,50.19K,1.58%,248.2
1/24/15,248.2,232.2,248.9,229.6,33.24K,6.89%,232.2
1/23/15,232.2,232.7,237.0,224.8,38.17K,-0.23%,232.7
1/22/15,232.7,228.2,238.8,225.6,53.71K,1.99%,228.2
1/21/15,228.2,210.6,229.3,207.1,43.18K,8.37%,210.6
1/20/15,210.6,215.9,216.6,203.4,37.48K,-2.46%,215.9
1/19/15,215.9,210.6,219.5,205.5,31.58K,2.49%,210.6
1/18/15,210.6,199.6,220.7,192.5,40.37K,5.49%,199.6
1/17/15,199.6,206.9,212.6,191.7,43.13K,-3.51%,206.9
1/16/15,206.9,209.8,222.6,198.7,62.32K,-1.36%,209.8
1/15/15,209.8,164.9,231.3,164.6,124.67K,27.20%,164.9
1/14/15,164.9,221.3,230.9,157.3,170.68K,-25.47%,221.3
1/13/15,221.3,269.3,269.1,217.1,95.50K,-17.84%,269.3
1/12/15,269.3,264.8,273.1,263.3,25.39K,1.72%,264.8
1/11/15,264.8,273.4,278.0,263.8,15.11K,-3.14%,273.4
1/10/15,273.4,288.0,289.3,272.0,14.73K,-5.08%,288.0
1/9/15,288.0,282.7,290.6,277.3,20.93K,1.87%,282.7
